A6_s21_greend;A5_s21_memory;300
A7_s21_roflan;A5_s21_memory;330
A8_s21_hectorian;A5_s21_memory;300
A9_s21_bridge;A5_s21_memory;600
C2_SimpleBashUtils;;250
C3_s21_string+;C2_SimpleBashUtils;500
C4_s21_math;C3_s21_string+;300
C5_s21_decimal;C4_s21_math;350
C6_s21_matrix;C5_s21_decimal;200
C7_SmartCalc_v1.0;C6_s21_matrix;500
C8_3DViewer_v1.0;C7_SmartCalc_v1.0;750
CPP1_s21_matrix+;C8_3DViewer_v1.0;300
CPP2_s21_containers;CPP1_s21_matrix+;350
CPP3_SmartCalc_v2.0;CPP2_s21_containers;600
CPP4_3DViewer_v2.0;CPP3_SmartCalc_v2.0;750
CPP7_MLP;CPP4_3DViewer_v2.0;700
A5_s21_memory;CPP4_3DViewer_v2.0;150
